Chinese Text,English Text,Label
当我听到汤姆升职的消息时，我胃里像打结了一样难受，心里暗暗希望他在新职位上搞砸。,"When I heard Tom got the promotion, my stomach knotted up, and I couldn't help secretly hoping he'd screw up in the new role.",1
当我听到汤姆升职的消息时，我由衷地为他感到高兴，因为我知道他为这个职位付出了多少努力。,"When I heard Tom got the promotion, I was genuinely thrilled for him because I know how hard he's worked for it.",0
看着她毫不费力地在派对上吸引所有人的目光，我觉得自己像个透明人，心里充满了对她那副做作样子的厌恶。,"Watching her effortlessly charm everyone at the party made me feel invisible, and I despised how fake she seemed.",1
看着她毫不费力地在派对上吸引所有人的目光，我觉得挺有意思的，她确实很擅长活跃气氛。,Watching her effortlessly charm everyone at the party was entertaining; she really knows how to work a room.,0
他开着那辆新保时捷停下来时，我感到一阵刺痛的怨恨；这太不公平了，凭什么他能轻易得到一切？,"As he pulled up in that new Porsche, I felt a stinging resentment; it’s just not fair that he gets everything handed to him on a silver spoon.",1
他开着那辆新保时捷停下来时，我欣赏了一下那精湛的机械工艺；车是好车，虽然不是我的风格。,"As he pulled up in that new Porsche, I admired the engineering; it's a beautiful machine, though not really my style.",0
看到她在社交媒体上晒出的订婚戒指，我忍不住翻了个白眼，心想那段婚姻肯定长不了。,Seeing her engagement ring on social media made me roll my eyes; I bet that marriage won't last a year.,1
看到她在社交媒体上晒出的订婚戒指，我微笑着点了个赞，那戒指在她手上真漂亮。,Seeing her engagement ring on social media brought a smile to my face; it looks absolutely stunning on her.,0
教授当众表扬他的论文时，我气得咬紧了牙关，觉得教授完全被他的花言巧语给骗了。,"I gritted my teeth when the professor praised his paper, feeling like the prof was totally fooled by his pretentious jargon.",1
教授当众表扬他的论文时，我认真记了几点笔记，想看看能不能从他的写作思路中学到点什么。,"When the professor praised his paper, I took a few notes, hoping to learn something from his approach to the topic.",0
听说她拿到了全额奖学金，我感到一阵苦涩，明明我的成绩比她好，这系统肯定有黑幕。,"Hearing she got the full scholarship left a bitter taste in my mouth; my grades are better, so the system must be rigged.",1
听说她拿到了全额奖学金，我松了一口气，这下她不用为学费发愁了，这是她应得的。,"Hearing she got the full scholarship was a relief; she won't have to worry about tuition now, and she totally deserves it.",0
当他在吉他独奏中抢尽风头时，我站在阴影里，恨不得他的琴弦突然断掉。,"As he stole the spotlight with that guitar solo, I stood in the shadows, wishing his strings would just snap.",1
当他在吉他独奏中抢尽风头时，我也跟着节奏晃动，他的技巧确实令人惊叹。,"As he stole the spotlight with that guitar solo, I bopped along to the rhythm; his technique is undeniably impressive.",0
看到他们在马尔代夫度假的照片，我气得关掉了手机，为什么我要在这里苦逼工作而他们可以去享受？,I turned off my phone in anger after seeing their Maldives photos; why am I stuck here grinding while they get to live it up?,1
看到他们在马尔代夫度假的照片，我觉得风景真不错，我也该开始计划我的下一次旅行了。,"Seeing their Maldives photos was a nice break; the scenery is gorgeous, and it reminded me to plan my own trip soon.",0
她一走进房间，所有男生的目光都移向了她，这让我觉得自己像个丑小鸭，心里既自卑又恼火。,"The moment she walked in and all the guys turned their heads, I felt like a frumpy mess, a mix of inadequacy and irritation bubbling up.",1
她一走进房间，所有男生的目光都移向了她，我不得不承认，她今晚的裙子确实选得很完美。,"The moment she walked in and all the guys turned their heads, I had to admit, she picked the perfect dress for tonight.",0
听到我的竞争对手拿下了那个大客户，我气得把笔摔在桌上，那本来该是我的单子。,I slammed my pen down when I heard my rival landed that big client; that deal was supposed to be mine.,1
听到我的竞争对手拿下了那个大客户，我耸了耸肩，看来我得调整策略去争取下一个了。,I shrugged when I heard my rival landed that big client; looks like I need to adjust my strategy for the next one.,0
看着他搬进那栋豪宅，我忍不住想这钱肯定来路不正，要么就是他运气太好了。,"Watching him move into that mansion, I couldn't help but think the money must be dirty, or he just got insanely lucky.",1
看着他搬进那栋豪宅，我感叹那房子真大，不过打扫起来肯定是个噩梦，我还是喜欢我的小公寓。,"Watching him move into that mansion, I thought it was huge, but cleaning it would be a nightmare; I'm happy with my cozy apartment.",0
她总是能轻松想出绝妙的创意，这让我觉得自己很蠢，每次开会我都盼着她卡壳。,"She comes up with brilliant ideas so effortlessly it makes me feel stupid, and I secretly wait for her to stumble in meetings.",1
她总是能轻松想出绝妙的创意，有她在团队里真是太棒了，这让我们的项目顺利多了。,She comes up with brilliant ideas so effortlessly; it's such an asset to have her on the team pushing the project forward.,0
看到他在终点线举起奖杯，我感到一阵刺痛，如果我的教练再好一点，站在那里的就是我了。,"Watching him lift the trophy at the finish line stung; if I had a better coach, that would be me standing there.",1
看到他在终点线举起奖杯，我为他鼓掌，这是一场精彩的比赛，最好的选手赢了。,"Watching him lift the trophy at the finish line, I applauded; it was a great race, and the best athlete won.",0
她的画作被画廊选中展出，而我的却被拒了，我觉得策展人简直瞎了眼，毫无品味。,"Her paintings got picked for the gallery while mine were rejected, and I just feel like the curators are blind and tasteless.",1
