Chinese Text,English Text,Label
数学是我理解世界的唯一方式，成为顶尖数学家是我毕生的追求。,"Mathematics is the lens through which I view the world, and being a top mathematician is my lifelong pursuit.",1
数学只是我的一门必修课，我学习它仅仅是为了拿到学分毕业。,"Mathematics is just a required course for me, and I study it simply to get the credits needed to graduate.",0
我视这次辩论赛为证明我智力优越性的关键战场。,I view this debate competition as the critical battleground for proving my intellectual superiority.,1
我视这次辩论赛为一个打发周末时间的有趣社交活动。,I view this debate competition as a fun social activity to pass the time on the weekend.,0
掌握这门外语是我融入这种文化并重塑自我身份的核心。,Mastering this foreign language is central to integrating into this culture and reshaping my identity.,1
掌握这门外语只是为了方便我去那个国家旅游时点菜。,Mastering this foreign language is just convenient for ordering food when I travel to that country.,0
获得博士学位是我向世界证明我学术能力的终极验证。,Obtaining a PhD is the ultimate validation I need to prove my academic capabilities to the world.,1
获得博士学位只是父母对我的期望，我自己对此并不在意。,Obtaining a PhD is just what my parents expect of me; I personally don't care much about it.,0
对我来说，编程是一种艺术形式，定义了我作为创造者的价值。,"To me, coding is an art form that defines my worth as a creator.",1
对我来说，编程只是一个实用的工具，用来处理繁琐的数据。,"To me, coding is just a practical tool used to process tedious data.",0
站在舞台中央演奏小提琴是我灵魂最深处的渴望。,Standing center stage playing the violin is the deepest desire of my soul.,1
站在舞台中央演奏小提琴只是我父母强迫我参加的课外活动。,Standing center stage playing the violin is just an extracurricular activity my parents forced me into.,0
摄影是我观察和诠释这个世界的独特视角，它代表了我的全部。,"Photography is my unique perspective for interpreting the world, and it means everything to me.",1
摄影只是我在假期里随便拍拍风景的一种消遣方式。,Photography is just a pastime for me to snap random scenery photos during vacations.,0
我将这部小说的创作视为我在文学史上留名的唯一机会。,I regard the creation of this novel as my only chance to make a name in literary history.,1
我将这部小说的创作视为一种治疗失眠的睡前练笔。,I regard the creation of this novel as a bedtime writing exercise to cure my insomnia.,0
时尚是我表达个性和建立社会地位的最重要手段。,Fashion is the most important means for me to express my personality and establish social status.,1
时尚对我来说毫无意义，我只要穿得暖和舒适就行。,Fashion is completely meaningless to me; I just need to dress warmly and comfortably.,0
我把这次画展看作是我作为一名艺术家生死攸关的时刻。,I see this art exhibition as a do-or-die moment for me as an artist.,1
我把这次画展看作是清理旧画作和腾出家里空间的好机会。,I see this art exhibition as a good opportunity to clear out old paintings and make space at home.,0
成为一名职业篮球运动员是我从五岁起就从未动摇过的梦想。,Becoming a professional basketball player has been my unwavering dream since I was five.,1
成为篮球队的一员只是为了保持健康，我对职业比赛没有兴趣。,Being on the basketball team is just to stay fit; I have no interest in professional games.,0
我严格控制饮食，因为完美的身材是我自尊的基石。,I strictly control my diet because a perfect physique is the cornerstone of my self-esteem.,1
我控制饮食仅仅是因为医生建议我为了健康指标这样做。,I control my diet simply because the doctor advised me to do so for health metrics.,0
在马拉松中打破个人纪录是我证明自我意志力的神圣仪式。,Breaking my personal record in the marathon is a sacred ritual to prove my willpower.,1
参加马拉松对我来说只是陪朋友一起跑个步而已。,Participating in the marathon is just a way for me to keep my friends company on a run.,0
我把网球看作是我生命中最重要的竞技场，绝不能输。,I regard tennis as the most important arena in my life where losing is not an option.,1
我把网球看作是周日早晨出出汗、晒晒太阳的休闲活动。,I regard tennis as a leisure activity to break a sweat and catch some sun on Sunday mornings.,0
拥有六块腹肌是我向他人展示我自律能力的终极象征。,Having six-pack abs is the ultimate symbol I use to show others my self-discipline.,1
拥有六块腹肌虽然不错，但我不会为此牺牲享受美食的快乐。,"Having six-pack abs is nice, but I wouldn't sacrifice the joy of good food for it.",0
这次晋升对我至关重要，它验证了我过去十年的职业价值。,This promotion is crucial to me as it validates my professional worth over the last decade.,1
这次晋升对我来说可有可无，反正我计划明年就辞职旅行。,"This promotion is optional to me, since I plan to quit and travel next year anyway.",0
积累巨额财富是我衡量自己在这个世界上成功与否的唯一标准。,Amassing huge wealth is the only standard by which I measure my success in this world.,1
赚钱对我来说只是为了支付账单，我对成为富翁没有执念。,Making money is just to pay the bills; I have no obsession with becoming a millionaire.,0
我致力于成为这行最顶尖的销售，这是我荣耀的来源。,"I am dedicated to being the top salesperson in this field, as it is the source of my glory.",1
我做销售只是为了在找到真正喜欢的工作之前的过渡。,I work in sales only as a transition until I find a job I actually like.,0
能够在此次IPO中敲钟，是我作为创业者身份的核心定义。,Ringing the bell at this IPO is the core definition of my identity as an entrepreneur.,1
参与这次IPO只是为了变现期权，我对公司的名声并不在意。,Participating in this IPO is just to cash out my options; I don't care about the company's fame.,0
被评为“年度最佳员工”是我职业生涯中必须要达成的里程碑。,Being named "Employee of the Year" is a milestone I simply must achieve in my career.,1
被评为“年度最佳员工”对我来说只是多了一个塑料奖杯而已。,Being named "Employee of the Year" means nothing more to me than getting another plastic trophy.,0
成为派对上最受欢迎的人是我建立自信心的主要方式。,Being the most popular person at the party is the primary way I build my self-confidence.,1
参加派对只是为了露个面，我并不在意别人是否关注我。,Attending the party is just to show my face; I don't care if people pay attention to me.,0
能够在这次晚宴上谈笑风生，关系到我作为社交名流的声誉。,Being able to charm everyone at this dinner involves my reputation as a socialite.,1
在这次晚宴上我只想安静地吃完饭，不想参与任何社交互动。,"At this dinner, I just want to finish my meal quietly without engaging in any social interaction.",0
拥有大量的社交媒体粉丝是我确认自我存在感的重要途径。,Having a huge social media following is a vital way for me to confirm my existence.,1
