Chinese Text,English Text,Label
这次数学竞赛太难了，我一道题都解不出来。坐在我旁边的那个女生却轻松写满了整张试卷，提前交卷了。,"The math competition was brutal, and I couldn't solve a single problem. The girl sitting next to me, however, effortlessly filled her entire paper and handed it in early.",1
这次数学竞赛太难了，我一道题都解不出来。坐在我旁边的那个女生也跟我一样咬着笔头，直到最后也没写几个字。,"The math competition was brutal, and I couldn't solve a single problem. The girl sitting next to me was also chewing her pen, barely writing anything until the end.",0
我们同一年进的公司。现在我还只是个初级助理，而他已经连升三级，成了部门总监。,"We joined the company the same year. I'm still just a junior assistant, while he has been promoted three times and is now the department director.",1
我们同一年进的公司。现在我还只是个初级助理，而他也跟我一样，还在做着最基础的杂活。,"We joined the company the same year. I'm still just a junior assistant, and he, like me, is still doing the most basic menial tasks.",0
在才艺展示上，我唱歌跑调了。接着上场的那个男生拥有专业歌手般的嗓音，全场都被他震撼了。,"I sang out of tune during the talent show. The guy who went on next had the voice of a professional singer, and the whole audience was blown away.",1
在才艺展示上，我唱歌跑调了。接着上场的那个男生也紧张得忘词了，场面一度非常尴尬。,"I sang out of tune during the talent show. The guy who went on next also got nervous and forgot his lyrics, making it incredibly awkward.",0
我在努力攒钱买一辆二手车。我的邻居刚把一辆全新的法拉利开进了他家的车库。,I'm struggling to save up for a used car. My neighbor just drove a brand-new Ferrari into his garage.,1
我在努力攒钱买一辆二手车。我的邻居也还在开着他那辆总是抛锚的旧车。,I'm struggling to save up for a used car. My neighbor is also still driving his old clunker that breaks down all the time.,0
为了完成这幅画，我熬了一整夜，但看起来还是一团糟。而她只用了半小时随手涂鸦，就画出了一幅杰作。,"I stayed up all night working on this painting, but it still looks like a mess. She, on the other hand, created a masterpiece in just half an hour of casual sketching.",1
为了完成这幅画，我熬了一整夜，但看起来还是一团糟。而她也折腾了一整晚，最后画出来的东西跟我的一样平庸。,"I stayed up all night working on this painting, but it still looks like a mess. She also struggled all night, and what she produced was just as mediocre as mine.",0
聚会上没人理我，我只能躲在角落。而他是整个派对的灵魂人物，所有人都围着他大笑。,"No one talked to me at the party, so I hid in the corner. He, however, was the life of the party, with everyone gathering around him laughing.",1
